segment,product_name,category,P,H,C,L,R,prompt,marketing_copy,
Segment 52,RoadRider E-Bike,Mobility / Green Tech,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Price
- Preferred channel: Social
- Product preference: Home & Garden
- Personality: Analytical

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your lifestyle with the RoadRider E-Bike—where luxury meets smart
mobility. With its impressive long battery life and fast charge,
you can explore effortlessly while GPS tracking keeps you connected
to your journeys. Discover the perfect blend of sophistication and
sustainability, all at a price that makes sense for the
discerning buyer.",
Segment 53,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Convenience
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your morning routine with the EcoBrew Reusable Coffee Cup—your
perfect eco-friendly companion for on-the-go adventures! Made from recycled materials
and designed with temperature control to keep your drinks just
right, it’s sustainability made simple. Customize your cup through our
mobile app and sip in style while caring for the
planet!",
Segment 53,PetPal Automatic Feeder,Pet Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Convenience
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Take your pet care to the next level with the
PetPal Automatic Feeder! Designed for eco-conscious pet parents like you,
our smart feeder offers convenient scheduling, real-time camera access, and
precise portion control—all at your fingertips via our easy-to-use mobile
app. Enjoy peace of mind knowing your furry friend is
fed and happy, even when you're on the go!",
Segment 53,FitTrack Smartwatch,Health & Fitness,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Convenience
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your eco-friendly lifestyle with the FitTrack Smartwatch, designed for
the conscientious athlete on the go! Stay in tune with
your health through heart rate monitoring, sleep tracking, and calorie
counting—all conveniently synced to your mobile app. Make fitness a
seamless part of your day, while caring for the planet.",
Segment 53,TravelGo Insurance App,FinTech / Travel,0,1,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Convenience
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Conscientious

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","Ready to travel sustainably with peace of mind? With the
TravelGo Insurance App, you can effortlessly manage your eco-friendly adventures—enjoy
real-time claims and AI-driven risk predictions, all at your fingertips.
Plus, our 24/7 support ensures you're never alone on your
journey. Download now and travel smarter! 🌍✈️",
Segment 54,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Convenience
- Preferred channel: Online
- Product preference: Electronics
- Personality: Spontaneous

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","Fuel your spontaneous adventures with the EcoBrew Reusable Coffee Cup!
Designed for the on-the-go adventurer, this customizable, BPA-free cup keeps
your drinks hot or cold while being kind to the
planet. Grab yours online and sip sustainably, wherever your next
journey takes you!",
Segment 54,QuickCart+ Grocery App,Retail / eCommerce,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Convenience
- Preferred channel: Online
- Product preference: Electronics
- Personality: Spontaneous

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Unleash your adventurous spirit with QuickCart+! Experience the thrill of
spontaneity as you enjoy one-hour grocery delivery straight to your
door, along with smart reordering and exclusive app deals that
keep your journey hassle-free. Fuel your next adventure without missing
a beat—download QuickCart+ today!",
Segment 54,HomeEase Smart Thermostat,Smart Home / Energy,1,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Convenience
- Preferred channel: Online
- Product preference: Electronics
- Personality: Spontaneous

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Unleash your adventurous spirit with the HomeEase Smart Thermostat! Control
your home’s climate from anywhere using our intuitive app, ensuring
your space is always just right when you return from
your spontaneous escapades. Embrace convenience with energy optimization and voice
assistant integration, so you can focus on your next adventure
without a worry!",
Segment 54,BookLoop Reading Subscription,Entertainment / Education,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Convenience
- Preferred channel: Online
- Product preference: Electronics
- Personality: Spontaneous

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","Unleash your adventurous spirit with BookLoop! Dive into a world
of curated reads that fit your spontaneous lifestyle—wherever your journey
takes you. Join our vibrant community and discover the perfect
book, all with the convenience of a flexible subscription tailored
just for you. Adventure awaits, one page at a time!",
Segment 55,BookLoop Reading Subscription,Entertainment / Education,1,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: Online
- Product preference: Electronics
- Personality: Conscientious

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your next adventure with BookLoop, the innovative reading subscription
that brings curated literary treasures right to your doorstep. Dive
into thought-provoking books chosen by fellow explorers and enjoy flexible
membership tiers tailored to your journey. Join a community of
conscientious readers and elevate your mind—one captivating story at a
time!",
Segment 55,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: Online
- Product preference: Electronics
- Personality: Conscientious

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your adventure with the EcoBrew Reusable Coffee Cup—your perfect
companion for sustainable sips on the go! Crafted from recycled
materials and designed with temperature control for that ideal brew,
this BPA-free cup lets you express your unique style while
making a positive impact. Join the innovation in eco-friendly living
and customize yours today for every journey ahead!",
Segment 55,RoadRider E-Bike,Mobility / Green Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: Online
- Product preference: Electronics
- Personality: Conscientious

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Unleash your adventurous spirit with the RoadRider E-Bike, where innovation
meets exploration! With its long battery life, fast charging, and
GPS tracking, you can conquer new terrains while staying connected
through smartphone integration. Elevate your rides and discover the world
sustainably—your next adventure awaits!",
Segment 55,QuickCart+ Grocery App,Retail / eCommerce,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Innovation
- Preferred channel: Online
- Product preference: Electronics
- Personality: Conscientious

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock a new level of convenience with QuickCart+, the grocery
app designed for the adventurous spirit in you! Experience one-hour
delivery and innovative smart reordering that keeps up with your
active lifestyle. Join now to enjoy exclusive deals and loyalty
rewards that make grocery shopping as thrilling as your next
adventure!",
Segment 56,RoadRider E-Bike,Mobility / Green Tech,1,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your ride with the RoadRider E-Bike, where luxury meets
sustainability. With an impressive battery life and fast charging, you
can explore in style while reducing your carbon footprint. Plus,
our smartphone integration and GPS tracking ensure every journey is
as smart as it is sleek—perfect for the analytical luxury-seeker
like you.",
Segment 56,EduMentor AI Learning Platform,Education / Tech,1,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your learning journey with EduMentor AI, where sustainability meets
luxury. Our adaptive platform curates personalized educational experiences, ensuring you
stay at the forefront of innovation while reducing your carbon
footprint. Discover gamified quizzes that challenge your analytical mind and
embrace a smarter, greener way to master your favorite sports—all
from the convenience of our mobile app.",
Segment 56,FitTrack Smartwatch,Health & Fitness,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your fitness journey with the FitTrack Smartwatch – where
luxury meets sustainability. Designed for the discerning athlete, our innovative
smartwatch offers precise heart rate monitoring and sleep tracking, all
while promoting eco-friendly practices. With seamless Bluetooth connectivity, you can
effortlessly analyze your health metrics, making each workout not just
a routine, but a mindful choice for a better planet.",
Segment 56,HomeEase Smart Thermostat,Smart Home / Energy,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Luxury-seeker
- Primary value: Sustainability
- Preferred channel: Mobile app
- Product preference: Sports
- Personality: Analytical

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Elevate your home’s comfort and sustainability with the HomeEase Smart
Thermostat. Seamlessly control your energy use from your mobile app,
while optimizing efficiency and reducing your carbon footprint. Experience luxury
living that aligns with your values—because a smart home should
be as thoughtful as you are.",
Segment 57,PetPal Automatic Feeder,Pet Tech,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Quality
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey Adventurer! Keep your furry companion well-fed while you explore
the world with the PetPal Automatic Feeder. Its smart scheduling
and precise portion control ensure your pet's nutrition is always
on point, all monitored right from your phone. Elevate your
pet care with quality tech that matches your adventurous spirit!",
Segment 57,QuickCart+ Grocery App,Retail / eCommerce,0,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Quality
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey Adventurer! Elevate your outdoor escapades with QuickCart+, the grocery
app that ensures you never compromise on quality. Enjoy one-hour
delivery of top-tier essentials, smart reordering for effortless restocking, and
exclusive deals that reward your adventurous spirit—all on your phone.
Ready to gear up and explore?",
Segment 57,TravelGo Insurance App,FinTech / Travel,1,0,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Quality
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","""Gear up for your next adventure with the TravelGo Insurance
App, where quality meets innovation! Our AI-based risk prediction ensures
you're always one step ahead, while real-time claims and 24/7
support give you the peace of mind to explore freely.
Download now and navigate your journeys analytically and confidently!""",
Segment 57,EduMentor AI Learning Platform,Education / Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Adventurer
- Primary value: Quality
- Preferred channel: Phone
- Product preference: Apparel
- Personality: Analytical

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Ready to elevate your adventure in learning? With EduMentor's AI
Learning Platform, you’ll experience an adaptive approach that tailors to
your unique style, ensuring quality insights and personalized recommendations at
every turn. Dive into gamified quizzes that challenge your analytical
mind while making learning an exciting journey—perfect for the adventurer
who values both quality and growth!",
Segment 58,PetPal Automatic Feeder,Pet Tech,0,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Brand
- Preferred channel: Social
- Product preference: Groceries
- Personality: Spontaneous

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, tech lover! 🐾 Meet the PetPal Automatic Feeder
– your new smart sidekick for furry family members! Stay
spontaneous and worry-free with real-time camera access, customizable feeding schedules,
and portion control, all from your favorite social app. Elevate
your pet care game and enjoy peace of mind, even
on your busiest days!",
Segment 58,TravelGo Insurance App,FinTech / Travel,0,1,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Brand
- Preferred channel: Social
- Product preference: Groceries
- Personality: Spontaneous

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","🌍✨ Tech-savvy adventurers, meet your new travel companion: the TravelGo
Insurance App! With real-time claims and AI-driven risk predictions, you
can explore spontaneity without worry. Download now and experience 24/7
support—because your journey deserves the best protection! 🧳💼",
Segment 58,HomeEase Smart Thermostat,Smart Home / Energy,0,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Brand
- Preferred channel: Social
- Product preference: Groceries
- Personality: Spontaneous

Product:
- Name: HomeEase Smart Thermostat
- Category: Smart Home / Energy
- Features: Remote control via app, energy optimization, voice assistant integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, tech enthusiast! 🌟 With the HomeEase Smart Thermostat,
you can control your home's climate right from your phone
or with just your voice—perfect for those spontaneous moments when
you need the perfect vibe at home. Join the smart
home revolution and elevate your lifestyle while saving energy effortlessly!
🔥📱 #SmartLiving",
Segment 58,BookLoop Reading Subscription,Entertainment / Education,1,0,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Tech-savvy
- Primary value: Brand
- Preferred channel: Social
- Product preference: Groceries
- Personality: Spontaneous

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock a world of spontaneous reading adventures with BookLoop! 🌟
Dive into curated book picks tailored for tech-savvy readers like
you, and connect with fellow enthusiasts through vibrant community reviews.
Join today and elevate your grocery shopping experience to a
whole new level—who knew your next favorite read was just
a subscription away? 📚✨",
Segment 59,QuickCart+ Grocery App,Retail / eCommerce,1,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Convenience
- Preferred channel: Phone
- Product preference: Sports
- Personality: Social

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, busy families! With QuickCart+, you can enjoy one-hour
grocery delivery right to your door, giving you more time
to spend with loved ones. Plus, our smart reordering and
app-exclusive deals make shopping a breeze—because convenience is just a
tap away! 🛒✨",
Segment 59,LuxSkin Anti-Aging Serum,Beauty & Wellness,0,1,1,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Convenience
- Preferred channel: Phone
- Product preference: Sports
- Personality: Social

Product:
- Name: LuxSkin Anti-Aging Serum
- Category: Beauty & Wellness
- Features: Vitamin C, retinol blend, dermatologist-tested, subscription delivery

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, busy families! Discover the convenience of LuxSkin Anti-Aging
Serum—your secret weapon for youthful skin, now available with easy
subscription delivery. Packed with Vitamin C and a dermatologist-tested retinol
blend, it’s perfect for social adventures while keeping your skin
glowing. Let’s make beauty simple so you can focus on
what matters most—your family!",
Segment 59,RoadRider E-Bike,Mobility / Green Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Convenience
- Preferred channel: Phone
- Product preference: Sports
- Personality: Social

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Ready to elevate your family adventures? With the RoadRider E-Bike,
you'll enjoy long rides and quick charges, all while keeping
track of your loved ones with GPS integration—all right from
your phone! Experience the joy of effortless outdoor exploration and
create unforgettable memories together, one ride at a time!",
Segment 59,EduMentor AI Learning Platform,Education / Tech,0,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Convenience
- Preferred channel: Phone
- Product preference: Sports
- Personality: Social

Product:
- Name: EduMentor AI Learning Platform
- Category: Education / Tech
- Features: Adaptive learning, personalized recommendations, gamified quizzes

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, family champions! 🎉 Ready to make learning a
breeze? With EduMentor AI Learning Platform, your kids can enjoy
personalized, engaging lessons and gamified quizzes right from their phones—perfect
for busy families on the go! Let’s turn learning into
a fun family adventure today! 🚀",
Segment 60,FitTrack Smartwatch,Health & Fitness,0,1,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Books
- Personality: Extroverted

Product:
- Name: FitTrack Smartwatch
- Category: Health & Fitness
- Features: Heart rate monitor, sleep tracking, calorie counter, Bluetooth connectivity

Output: A short, engaging ad copy (2–3 sentences).
    ","Hey there, eco-conscious innovator! 🌿 With the FitTrack Smartwatch, you
can track your heart rate, monitor your sleep, and count
those calories—all while staying stylish and sustainable. Connect effortlessly via
Bluetooth and elevate your fitness journey, making every step a
statement for both your health and the planet! 🌍✨",
Segment 60,EcoBrew Reusable Coffee Cup,Sustainability / Lifestyle,0,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Books
- Personality: Extroverted

Product:
- Name: EcoBrew Reusable Coffee Cup
- Category: Sustainability / Lifestyle
- Features: BPA-free, temperature control, made from recycled materials, customizable design

Output: A short, engaging ad copy (2–3 sentences).
    ","🌍✨ Hey there, eco-warrior! Elevate your coffee experience with the
EcoBrew Reusable Coffee Cup—crafted from recycled materials and fully customizable
to match your vibrant personality. Stay innovative and stylish on-the-go
while keeping our planet green—order yours today through our mobile
app! ☕💚",
Segment 60,TravelGo Insurance App,FinTech / Travel,0,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Books
- Personality: Extroverted

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","""Ready to embark on your next eco-adventure? With TravelGo Insurance
App, you can explore the world confidently, knowing that our
innovative AI-based risk prediction and real-time claims support have your
back 24/7. Download now and travel smart, while making sustainable
choices!""",
Segment 60,QuickCart+ Grocery App,Retail / eCommerce,1,1,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Eco-friendly
- Primary value: Innovation
- Preferred channel: Mobile app
- Product preference: Books
- Personality: Extroverted

Product:
- Name: QuickCart+ Grocery App
- Category: Retail / eCommerce
- Features: One-hour delivery, smart reordering, loyalty rewards, app-exclusive deals

Output: A short, engaging ad copy (2–3 sentences).
    ","🌿 Hey there, eco-conscious innovator! With QuickCart+, you can enjoy
your favorite books while effortlessly getting eco-friendly groceries delivered in
just one hour. Join our community of savvy shoppers for
exclusive app deals and loyalty rewards that align with your
values—because sustainability should never be a compromise! 📚✨",
Segment 61,TravelGo Insurance App,FinTech / Travel,0,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Sustainability
- Preferred channel: Social
- Product preference: Books
- Personality: Introverted

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","🌍✨ Families who cherish sustainable travel, meet the TravelGo Insurance
App! With real-time claims, AI-powered risk predictions, and 24/7 support,
you can explore the world with peace of mind, knowing
that your family's adventures are protected. Join us on social
media and discover how easy it is to travel responsibly!
📚🌿",
Segment 61,PetPal Automatic Feeder,Pet Tech,0,1,1,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Sustainability
- Preferred channel: Social
- Product preference: Books
- Personality: Introverted

Product:
- Name: PetPal Automatic Feeder
- Category: Pet Tech
- Features: Smart schedule, camera access, portion control, mobile app alerts

Output: A short, engaging ad copy (2–3 sentences).
    ","🐾🌿 Attention, eco-conscious families! Meet the PetPal Automatic Feeder—your pet’s
new best friend that keeps mealtime convenient and sustainable. With
smart scheduling, portion control, and camera access, you can ensure
your furry family members are happy and healthy, all while
you manage it effortlessly from your mobile app. Embrace a
greener lifestyle together, because caring for our pets should be
as easy as it is rewarding! 🐶💚",
Segment 61,BookLoop Reading Subscription,Entertainment / Education,1,0,0,1,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Sustainability
- Preferred channel: Social
- Product preference: Books
- Personality: Introverted

Product:
- Name: BookLoop Reading Subscription
- Category: Entertainment / Education
- Features: Curated book picks, community reviews, flexible membership tiers

Output: A short, engaging ad copy (2–3 sentences).
    ","🌿 Dive into a world of sustainable reading with BookLoop!
Perfect for your family-oriented lifestyle, our curated book selections come
with community reviews to help you discover stories that resonate.
Join us on social media and find your next favorite
read while connecting with fellow introverted book lovers! 📚✨",
Segment 61,RoadRider E-Bike,Mobility / Green Tech,0,0,0,0,0,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Family-oriented
- Primary value: Sustainability
- Preferred channel: Social
- Product preference: Books
- Personality: Introverted

Product:
- Name: RoadRider E-Bike
- Category: Mobility / Green Tech
- Features: Long battery life, fast charge, GPS tracking, smartphone integration

Output: A short, engaging ad copy (2–3 sentences).
    ","Discover the joy of family adventures while staying eco-friendly with
the RoadRider E-Bike! With its long battery life and smart
GPS tracking, you can effortlessly explore your favorite green spaces
together, creating unforgettable memories. Join our community on social media
to share your journey towards a more sustainable lifestyle!",
Segment 62,TravelGo Insurance App,FinTech / Travel,1,1,0,0,1,"
You are a marketing copywriter. 
Write a short, personalized marketing message (2–3 sentences) for this customer segment and product.

Customer segment:
- Lifestyle: Health-conscious
- Primary value: Quality
- Preferred channel: Online
- Product preference: Home & Garden
- Personality: Social

Product:
- Name: TravelGo Insurance App
- Category: FinTech / Travel
- Features: Real-time claims, AI-based risk prediction, 24/7 support

Output: A short, engaging ad copy (2–3 sentences).
    ","Unlock your adventures with the TravelGo Insurance App—designed for the
health-conscious traveler who values quality in every aspect of life.
Enjoy peace of mind with real-time claims, AI-driven risk predictions,
and 24/7 support, all from the comfort of your home
or garden. Stay social, stay safe, and let TravelGo take
care of your travels!",
